Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"A.Y. Mahmoud, D. Neagu, D. Scrimieri, A.R.A. Abdullatif",Early diagnosis and personalised treatment focusing on synthetic data modelling: Novel visual learning approach in healthcare,2023,Computers in Biology and Medicine,Elsevier Ltd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169923306&doi=10.1016%2fj.compbiomed.2023.107295&partnerID=40&md5=849c1413f68f35a6e56b1defac47f5ce,,47,12/11/2024 21:11,Article,10.1016/j.compbiomed.2023.107295,00104825 (ISSN),,164,,,,2,2,1,4,1,"The early diagnosis and personalised treatment of diseases are facilitated by machine learning. The quality of data has an impact on diagnosis because medical data are usually sparse, imbalanced, and contain irrelevant attributes, resulting in suboptimal diagnosis. To address the impacts of data challenges, improve resource allocation, and achieve better health outcomes, a novel visual learning approach is proposed. This study contributes to the visual learning approach by determining whether less or more synthetic data are required to improve the quality of a dataset, such as the number of observations and features, according to the intended personalised treatment and early diagnosis. In addition, numerous visualisation experiments are conducted, including using statistical characteristics, cumulative sums, histograms, correlation matrix, root mean square error, and principal component analysis in order to visualise both original and synthetic data to address the data challenges. Real medical datasets for cancer, heart disease, diabetes, cryotherapy and immunotherapy are selected as case studies. As a benchmark and point of classification comparison in terms of such as accuracy, sensitivity, and specificity, several models are implemented such as k-Nearest Neighbours and Random Forest. To simulate algorithm implementation and data, Generative Adversarial Network is used to create and manipulate synthetic data, whilst, Random Forest is implemented to classify the data. An amendable and adaptable system is constructed by combining Generative Adversarial Network and Random Forest models. The system model presents working steps, overview and flowchart. Experiments reveal that the majority of data-enhancement scenarios allow for the application of visual learning in the first stage of data analysis as a novel approach. To achieve meaningful adaptable synergy between appropriate quality data and optimal classification performance while maintaining statistical characteristics, visual learning provides researchers and practitioners with practical human-in-the-loop machine learning visualisation tools. Prior to implementing algorithms, the visual learning approach can be used to actualise early, and personalised diagnosis. For the immunotherapy data, the Random Forest performed best with precision, recall, f-measure, accuracy, sensitivity, and specificity of 81%, 82%, 81%, 88%, 95%, and 60%, as opposed to 91%, 96%, 93%, 93%, 96%, and 73% for synthetic data, respectively. Future studies might examine the optimal strategies to balance the quantity and quality of medical data. © 2023 The Author(s)",,
2,"Y. Tamura, R. Takeyasu, T. Takata, N. Miyazaki, R. Takemura, M. Wada, Y. Tamura, K. Abe, A. Shigeta, Y. Taniguchi, S. Adachi, T. Inami, I. Tsujino, N. Tahara, M. Kuwana","SATISFY-JP, a phase II multicenter open-label study on Satralizumab, an anti-IL-6 receptor antibody, use for the treatment of pulmonary arterial hypertension in patients with an immune-responsive-phenotype: Study protocol",2023,Pulmonary Circulation,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162136345&doi=10.1002%2fpul2.12251&partnerID=40&md5=da4564b69ae7745178695296dfe7e3f2,,56,12/11/2024 21:11,Article,10.1002/pul2.12251,20458932 (ISSN),,13,2,,,2,2,0,15,1,"Pulmonary arterial hypertension (PAH), an intractable disease with a poor prognosis, is commonly treated using pulmonary vasodilators modulating the endothelin, cGMP, and prostacyclin pathway. Since the 2010s, drugs for treating pulmonary hypertension based on mechanisms other than pulmonary vasodilation have been actively developed. However, precision medicine is based on tailoring disease treatment to particular phenotypes by molecular-targeted drugs. Since interleukin-6 (IL-6) is involved in the development of PAH in animal models, and some patients with PAH have elevated IL-6 levels, the cytokine is expected to obtain potentials for therapeutic targeting. Accordingly, we identified a phenotype with elevated cytokine activity of the IL-6 family in the PAH population by combining case data extracted from the Japan Pulmonary Hypertension Registry with a comprehensive analysis of 48 cytokines using artificial intelligence clustering techniques. Including an IL-6 threshold ≥2.73 pg/mL as inclusion criteria for reducing the risk of insufficient efficacy, an investigator-initiated clinical study using satralizumab, a recycling anti-IL6 receptor monoclonal antibody, for patients with an immune-responsive phenotype is underway. This study is intended to test whether use of patient biomarker profile can identify a phenotype responsive to anti-IL6 therapy. © 2023 The Authors. Pulmonary Circulation published by John Wiley & Sons Ltd on behalf of Pulmonary Vascular Research Institute.",,
2,"T. Wang, Y. Yan, S. Xiang, J. Tan, C. Yang, W. Zhao",A comparative study of antihypertensive drugs prediction models for the elderly based on machine learning algorithms,2022,Frontiers in Cardiovascular Medicine,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144093038&doi=10.3389%2ffcvm.2022.1056263&partnerID=40&md5=78b22e738e8ed2721b0f1b7769a421ed,,69,12/11/2024 21:11,Article,10.3389/fcvm.2022.1056263,2297055X (ISSN),,9,,,,2,1,0,6,2,"Background: Globally, blood pressure management strategies were ineffective, and a low percentage of patients receiving hypertension treatment had their blood pressure controlled. In this study, we aimed to build a medication prediction model by correlating patient attributes with medications to help physicians quickly and rationally match appropriate medications. Methods: We collected clinical data from elderly hypertensive patients during hospitalization and combined statistical methods and machine learning (ML) algorithms to filter out typical indicators. We constructed five ML models to evaluate all datasets using 5-fold cross-validation. Include random forest (RF), support vector machine (SVM), light gradient boosting machine (LightGBM), artificial neural network (ANN), and naive Bayes (NB) models. And the performance of the models was evaluated using the micro-F1 score. Results: Our experiments showed that by statistical methods and ML algorithms for feature selection, we finally selected Age, SBP, DBP, Lymph, RBC, HCT, MCHC, PLT, AST, TBIL, Cr, UA, Urea, K, Na, Ga, TP, GLU, TC, TG, γ-GT, Gender, HTN CAD, and RI as feature metrics of the models. LightGBM had the best prediction performance with the micro-F1 of 78.45%, which was higher than the other four models. Conclusion: LightGBM model has good results in predicting antihypertensive medication regimens, and the model can be beneficial in improving the personalization of hypertension treatment. Copyright © 2022 Wang, Yan, Xiang, Tan, Yang and Zhao.",,
2,"Y. Qian, X. Wang, L. Cai, J. Han, Z. Huang, Y. Lou, B. Zhang, Y. Wang, X. Sun, Y. Zhang, A. Zhu",Model informed precision medicine of Chinese herbal medicines formulas–A multi-scale mechanistic intelligent model,2024,Journal of Pharmaceutical Analysis,Xi'an Jiaotong University,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191015046&doi=10.1016%2fj.jpha.2023.12.004&partnerID=40&md5=f7a55a2c0576091d415d24b4398431b1,,76,12/11/2024 21:11,Article,10.1016/j.jpha.2023.12.004,20951779 (ISSN),,14,4,,,2,2,0,11,1,"Recent trends suggest that Chinese herbal medicine formulas (CHM formulas) are promising treatments for complex diseases. To characterize the precise syndromes, precise diseases and precise targets of the precise targets between complex diseases and CHM formulas, we developed an artificial intelligence-based quantitative predictive algorithm (DeepTCM). DeepTCM has gone through multilevel model calibration and validation against a comprehensive set of herb and disease data so that it accurately captures the complex cellular signaling, molecular and theoretical levels of traditional Chinese medicine (TCM). As an example, our model simulated the optimal CHM formulas for the treatment of coronary heart disease (CHD) with depression, and through model sensitivity analysis, we calculated the balanced scoring of the formulas. Furthermore, we constructed a biological knowledge graph representing interactions by associating herb-target and gene-disease interactions. Finally, we experimentally confirmed the therapeutic effect and pharmacological mechanism of a novel model-predicted intervention in humans and mice. This novel multiscale model opened up a new avenue to combine “disease syndrome” and “macro micro” system modeling to facilitate translational research in CHM formulas. © 2023 The Authors",,
2,"M. Zhou, L. Lei, W. Chen, Q. Luo, J. Li, F. Zhou, X. Yang, Y. Pan","Deep learning-based diagnosis of aortic dissection using an electrocardiogram: Development, validation, and clinical implications of the AADE score",2024,Kardiologia Polska,Via Medica,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183982375&doi=10.33963%2fv.phj.98880&partnerID=40&md5=accf5db9a19ff77aac31b7deda084ea6,,81,12/11/2024 21:11,Article,10.33963/v.phj.98880,00229032 (ISSN),,82,1,63,71,2,2,0,8,1,"Background: Aortic dissection (AD) is frequently associated with abnormalities in electrocardiographic findings. Advancements in medical technology present an opportunity to leverage these observations to improve patient diagnosis and care. Objectives: This study aimed to develop a deep learning artificial intelligence (AI) model for AD detection using electrocardiograms (ECGs) and introduce the AI-Aortic-Dissection-ECG (AADE) score to provide clinicians with a measure to determine AD severity. Methods: From a cohort of 1878 patients, including 313 with AD, and 313 with chest pain (control group), we created training and validation subsets (7:3 ratio). A convolutional neural networks (CNN) model was trained for AD detection, with performance metrics like accuracy and F1 score (the harmonic mean of precision and recall) monitored. The AI-derived AADE score (0–1) was investigated against clinical parameters and ECG features over a median follow-up of 21.2 months. Results: The CNN model demonstrated robust performance with an accuracy of 0.93 and an F1 score of 0.93 for the AD group, and an accuracy of 0.871 with an F1 score of 0.867 for the chest pain group. The AADE score showed correlations with specific ECG patterns and demonstrated that higher scores aligned with increased mortality risk. Conclusions: Our CNN-based AI model offers a promising approach for AD detection using ECG. The AADE score, based on AI, can serve as a pivotal tool in refining clinical assessments and management strategies. Copyright by the Author(s), 2024.",,
2,"S. Nohara, K. Ishii, T. Shibata, H. Obara, T. Miyamoto, T. Ueno, T. Kakuma, Y. Fukumoto",Risk factor structure of heart failure in patients with cancer after treatment with anticancer agents’ assessment by big data from a Japanese electronic health record,2023,Heart and Vessels,Springer,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146925254&doi=10.1007%2fs00380-023-02238-9&partnerID=40&md5=b83ab3a354837ce6792d176d2ceb65a8,,82,12/11/2024 21:11,Article,10.1007/s00380-023-02238-9,09108327 (ISSN),,38,6,793,802,2,2,0,8,1,"As the prognosis of cancer patients has been improved, comorbidity of heart failure (HF) in cancer survivors is a serious concern, especially in the aged population. This study aimed to examine the risk factors of HF development after treatment by anticancer agents, using a machine learning-based analysis of a massive dataset obtained from the electronic health record (EHR) in Japan. This retrospective, cohort study, using a dataset from 2008 to 2017 in the Diagnosis Procedure Combination (DPC) database in Japan, enrolled 140,327 patients. The structure of risk factors was determined using multivariable analysis and classification and regression tree (CART) algorithm for time-to-event data. The mean follow-up period was 1.55 years. The prevalence of HF after anticancer agent administration were 4.0%. HF was more prevalent in the older than the younger. As the presence of cardiovascular diseases and various risk factors predicted HF, CART analysis of the risk factors revealed that the risk factor structures complicatedly differed among different age groups. The highest risk combination was hypertension, diabetes mellitus, and atrial fibrillation in the group aged ≤ 64 years, and the presence of ischemic heart disease was a key in both groups aged 65–74 years and 75 ≤ years. The machine learning-based approach was able to develop complicated HF risk structures in cancer patients after anticancer agents in different age population, of which knowledge would be essential for realizing precision medicine to improve the prognosis of cancer patients. © 2023, The Author(s).",,
2,"A. Ramón, A. Bas, S. Herrero, P. Blasco, M. Suárez, J. Mateo",Personalized Assessment of Mortality Risk and Hospital Stay Duration in Hospitalized Patients with COVID-19 Treated with Remdesivir: A Machine Learning Approach,2024,Journal of Clinical Medicine,Multidisciplinary Digital Publishing Institute (MDPI),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190115553&doi=10.3390%2fjcm13071837&partnerID=40&md5=85ffe009638b36caf1a365ba08e845b8,,91,12/11/2024 21:11,Article,10.3390/jcm13071837,20770383 (ISSN),,13,7,,,2,2,0,6,1,"Background: Despite advancements in vaccination, early treatments, and understanding of SARS-CoV-2, its impact remains significant worldwide. Many patients require intensive care due to severe COVID-19. Remdesivir, a key treatment option among viral RNA polymerase inhibitors, lacks comprehensive studies on factors associated with its effectiveness. Methods: We conducted a retrospective study in 2022, analyzing data from 252 hospitalized COVID-19 patients treated with remdesivir. Six machine learning algorithms were compared to predict factors influencing remdesivir’s clinical benefits regarding mortality and hospital stay. Results: The extreme gradient boost (XGB) method showed the highest accuracy for both mortality (95.45%) and hospital stay (94.24%). Factors associated with worse outcomes in terms of mortality included limitations in life support, ventilatory support needs, lymphopenia, low albumin and hemoglobin levels, flu and/or coinfection, and cough. For hospital stay, factors included vaccine doses, lung density, pulmonary radiological status, comorbidities, oxygen therapy, troponin, lactate dehydrogenase levels, and asthenia. Conclusions: These findings underscore XGB’s effectiveness in accurately categorizing COVID-19 patients undergoing remdesivir treatment. © 2024 by the authors.",,
2,"G. Manzi, C. Miotti, M.V. Mariani, S. Papa, F. Luongo, G. Scoccia, B. De Lazzari, C. De Lazzari, R.L. Benza, F. Fedele, C.D. Vizza, R. Badagliacca",Computational simulator models and invasive hemodynamic monitoring as tools for precision medicine in pulmonary arterial hypertension,2022,Journal of Clinical Medicine,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121588376&doi=10.3390%2fjcm11010082&partnerID=40&md5=4b30cf2f3ed38163bf36200585ba8b5a,,137,12/11/2024 21:11,Article,10.3390/jcm11010082,20770383 (ISSN),,11,1,,,2,1,0,12,2,"Precision medicine, providing the right therapeutic strategy for the right patient, could revolutionize management and prognosis of patients affected by cardiovascular diseases. Big data and artificial intelligence are pivotal for the realization of this ambitious design. In the setting of pulmonary arterial hypertension (PAH), the use of computational models and data derived from ambulatory implantable hemodynamic monitors could provide useful information for tailored treatment, as requested by precision medicine. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,
1,"J. Wu, C. Giles, A. Dakic, H.B. Beyene, K. Huynh, T. Wang, T. Meikle, G. Olshansky, A. Salim, T. Duong, G.F. Watts, J. Hung, J. Hui, G. Cadby, J. Beilby, J. Blangero, E.K. Moses, J.E. Shaw, D.J. Magliano, D. Zhu, J.Y. Yang, S.M. Grieve, A. Wilson, C.K. Chow, S.T. Vernon, M.P. Gray, G.A. Figtree, M.J. Carrington, M. Inouye, T.H. Marwick, P.J. Meikle",Lipidomic Risk Score to Enhance Cardiovascular Risk Stratification for Primary Prevention,2024,Journal of the American College of Cardiology,Elsevier Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198344172&doi=10.1016%2fj.jacc.2024.04.060&partnerID=40&md5=de3f7cbd24abeb48964d00712f44935d,,2,12/11/2024 21:11,Article,10.1016/j.jacc.2024.04.060,07351097 (ISSN),,84,5,434,446,1,1,0,31,1,"Background: Accurate risk stratification is vital for primary prevention of cardiovascular disease (CVD). However, traditional tools such as the Framingham Risk Score (FRS) may underperform within the diverse intermediate-risk group, which includes individuals requiring distinct management strategies. Objectives: This study aimed to develop a lipidomic-enhanced risk score (LRS), specifically targeting risk prediction and reclassification within the intermediate group, benchmarked against the FRS. Methods: The LRS was developed via a machine learning workflow using ridge regression on the Australian Diabetes, Obesity, and Lifestyle Study (AusDiab; n = 10,339). It was externally validated with the Busselton Health Study (n = 4,492), and its predictive utility for coronary artery calcium scoring (CACS)–based outcomes was independently validated in the BioHEART cohort (n = 994). Results: LRS significantly improved discrimination metrics for the intermediate-risk group in both AusDiab and Busselton Health Study cohorts (all P < 0.001), increasing the area under the curve for CVD events by 0.114 (95% CI: 0.1123-0.1157) and 0.077 (95% CI: 0.0755-0.0785), with a net reclassification improvement of 0.36 (95% CI: 0.21-0.51) and 0.33 (95% CI: 0.15-0.49), respectively. For CACS-based outcomes in BioHEART, LRS achieved a significant area under the curve improvement of 0.02 over the FRS (0.76 vs 0.74; P < 1.0 × 10-5). A simplified, clinically applicable version of LRS was also created that had comparable performance to the original LRS. Conclusions: LRS, augmenting the FRS, presents potential to improve intermediate-risk stratification and to predict atherosclerotic markers using a simple blood test, suitable for clinical application. This could facilitate the triage of individuals for noninvasive imaging such as CACS, fostering precision medicine in CVD prevention and management. © 2024 The Authors",,
1,"A. Martinez-Rodrigo, J.C. Castillo, A. Saz-Lara, I. Otero-Luis, I. Cavero-Redondo",Development of a recommendation system and data analysis in personalized medicine: an approach towards healthy vascular ageing,2024,Health Information Science and Systems,Springer,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192108356&doi=10.1007%2fs13755-024-00292-9&partnerID=40&md5=f709e0ccdc5a6a66dfed8dfcff3b34d0,,10,12/11/2024 21:11,Article,10.1007/s13755-024-00292-9,20472501 (ISSN),,12,1,,,1,1,0,5,1,"Purpose: Understanding early vascular ageing has become crucial for preventing adverse cardiovascular events. To this respect, recent AI-based risk clustering models offer early detection strategies focused on healthy populations, yet their complexity limits clinical use. This work introduces a novel recommendation system embedded in a web app to assess and mitigate early vascular ageing risk, leading patients towards improved cardiovascular health. Methods: This system employs a methodology that calculates distances within multidimensional spaces and integrates cost functions to obtain personalized optimisation of recommendations. It also incorporates a classification system for determining the intensity levels of the clinical interventions. Results: The recommendation system showed high efficiency in identifying and visualizing individuals at high risk of early vascular ageing among healthy patients. Additionally, the system corroborated its consistency and reliability in generating personalized recommendations among different levels of granularity, emphasizing its focus on moderate or low-intensity recommendations, which could improve patient adherence to the intervention. Conclusion: This tool might significantly aid healthcare professionals in their daily analysis, improving the prevention and management of cardiovascular diseases. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.",,
1,"P.Y. Yew, Y. Liang, T.J. Adam, J. Wolfson, P.J. Tonellato, C.-L. Chi",Decision rules for personalized statin treatment prescriptions over multi-objectives,2023,Experimental Biology and Medicine,SAGE Publications Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183371475&doi=10.1177%2f15353702231220660&partnerID=40&md5=7f7b63c2047b428eea59e0f795762db9,,23,12/11/2024 21:11,Article,10.1177/15353702231220660,15353702 (ISSN),,248,24,2526,2537,1,1,0,6,1,"In our previous study, we demonstrated the feasibility of producing a proactive statin prescription strategy – a personalized statin treatment plan (PSTP) – using neural networks with big data. However, its non-transparency limited result interpretations and clinical usability. To improve the transparency of our previous approach with minimal compromise to the maximal statin treatment benefit-to-risk ratio, this study proposed a five-step pipeline approach called the decision rules for statin treatment (DRST). Steps 1–3 of our proposed pipeline improved our previous PSTP model in optimizing individual benefit-to-risk ratio; Step 4 used a decision tree model (DRST) to provide straightforward rules in the initial statin treatment plan; Step 5 aimed to evaluate the efficacy of these decision rules by conducting a clinical trial simulation. We included 107,739 de-identified patient data from Optum Labs Database Warehouse in this study. The final decision rules were compact and efficient, resulting from a decision tree with only a maximum depth of 3 and 11 nodes. The DRST identified three factors that are easily obtainable at the point of care: age, low-density lipoprotein cholesterol (LDL-C) level, and age-adjusted Charlson score. Moreover, it also identified six subpopulations that can benefit most from these decision rules. In our clinical trial simulations, DRST was found to improve statin benefit in LDL-C reduction by 4.15 percentage points (pp) and reduce risks of statin-associated symptoms (SAS) and statin discontinuation by 11.71 and 3.96 pp, respectively, when compared to the standard of care. Moreover, these DRST results were only less than 0.6 pp suboptimal to PSTP, demonstrating that building DRST that provide transparency with minimal compromise to the maximal benefit-to-risk ratio of statin treatments is feasible. © 2024 by the Society for Experimental Biology and Medicine.",,
1,"Y. Zhang, D. Zhang, X. Liu, W. Peng, Y. Mu, Y. Li, Q. Qiu",A Practical Statin Recommendation System Based on Real-World Data to Improve LDL-C Management in Secondary Prevention,2023,Journal of Cardiovascular Pharmacology,Lippincott Williams and Wilkins,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159342650&doi=10.1097%2fFJC.0000000000001409&partnerID=40&md5=ad2c21b24cca5d26f46d4a9c92c71818,,32,12/11/2024 21:11,Article,10.1097/FJC.0000000000001409,01602446 (ISSN),,81,5,373,380,1,1,0,7,1,"Statins are considered the cornerstone of secondary prevention in patients with atherosclerotic cardiovascular disease (ASCVD). However, many patients fail to achieve the guide-recommended goal of low-density lipoprotein cholesterol (LDL-C) after statin monotherapy, leading to a high residual risk of cardiovascular events. Owing to individual differences in statin therapy, it is possible first to consider changing the type of statin before adding nonstatin medications in certain patients to improve LDL-C management. We developed and evaluated a statin recommendation system using real-world data. Ensemble learning was performed to develop the recommendation system that integrated the output results of support vector machines (SVM) and the similarity of patients. Model performance was assessed to investigate whether treatment according to the recommended model would increase the proportion of patients with the primary end point. Finally, a total of 3510 patients were enrolled in the development and validation of the recommender system. Of them, 1240 patients received atorvastatin (35.3%), 1714 patients received rosuvastatin (48.8%), and 556 patients received pitavastatin (15.8%). The statin recommendation system could significantly improve LDL-C target rate achievement in the recommended treatment group compared with the nonrecommended treatment group in the validation set (50.8% vs. 31.5%, P < 0.001). This study demonstrated that the statin recommendation system could significantly improve the achievement of LDL-C goals in ASCVD patients, providing a new approach to improve LDL-C management. © 2023 Lippincott Williams and Wilkins. All rights reserved.",,
1,B.M. Kuehn,"Introducing AHA’s New President: Joseph C. Wu, MD, PhD, FAHA",2023,Journal of the American Heart Association,American Heart Association Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166771681&doi=10.1161%2fJAHA.123.031618&partnerID=40&md5=67b1c646a0ecae133bbd26c8511086a4,,38,12/11/2024 21:11,Article,10.1161/JAHA.123.031618,20479980 (ISSN),,12,15,,,1,1,1,1,1,,,
1,"T. Wang, A.P. Keil, S. Kim, R. Wyss, P.T. Htoo, M.J. Funk, J.B. Buse, M.R. Kosorok, T. Stürmer",Iterative Causal Forest: A Novel Algorithm for Subgroup Identification,2024,American Journal of Epidemiology,Oxford University Press,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192415735&doi=10.1093%2faje%2fkwad219&partnerID=40&md5=cc13abca5e9c2d16916d83e44fe80dfb,,44,12/11/2024 21:11,Article,10.1093/aje/kwad219,00029262 (ISSN),,193,5,764,776,1,1,0,9,1,"Precisely and efficiently identifying subgroups with heterogeneous treatment effects (HTEs) in real-world evidence studies remains a challenge. Based on the causal forest (CF) method, we developed an iterative CF (iCF) algorithm to identify HTEs in subgroups defined by important variables. Our method iteratively grows different depths of the CF with important effect modifiers, performs plurality votes to obtain decision trees (subgroup decisions) for a family of CFs with different depths, and then finds the cross-validated subgroup decision that best predicts the treatment effect as a final subgroup decision. We simulated 12 different scenarios and showed that the iCF outperformed other machine learning methods for interaction/subgroup identification in the majority of scenarios assessed. Using a 20% random sample of fee-for-service Medicare beneficiaries initiating sodium-glucose cotransporter-2 inhibitors or glucagon-like peptide-1 receptor agonists, we implemented the iCF to identify subgroups with HTEs for hospitalized heart failure. Consistent with previous studies suggesting patients with heart failure benefit more from sodium-glucose cotransporter-2 inhibitors, iCF successfully identified such a subpopulation with HTEs and additive interactions. The iCF is a promising method for identifying subgroups with HTEs in real-world data where the potential for unmeasured confounding can be limited by study design.  © 2023 The Author(s).",,
1,"F. Li, L. Rasmy, Y. Xiang, J. Feng, A. Abdelhameed, X. Hu, Z. Sun, D. Aguilar, A. Dhoble, J. Du, Q. Wang, S. Niu, Y. Dang, X. Zhang, Z. Xie, Y. Nian, J. He, Y. Zhou, J. Li, M. Prosperi, J. Bian, D. Zhi, C. Tao",Dynamic Prognosis Prediction for Patients on DAPT After Drug-Eluting Stent Implantation: Model Development and Validation,2024,Journal of the American Heart Association,American Heart Association Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184295652&doi=10.1161%2fJAHA.123.029900&partnerID=40&md5=4f911596904c60dd6cea8dc231adfbff,,45,12/11/2024 21:11,Article,10.1161/JAHA.123.029900,20479980 (ISSN),,13,3,,,1,1,0,23,1,"BACKGROUND: The rapid evolution of artificial intelligence (AI) in conjunction with recent updates in dual antiplatelet therapy (DAPT) management guidelines emphasizes the necessity for innovative models to predict ischemic or bleeding events after drug-eluting stent implantation. Leveraging AI for dynamic prediction has the potential to revolutionize risk stratification and provide personalized decision support for DAPT management. METHODS AND RESULTS: We developed and validated a new AI-based pipeline using retrospective data of drug-eluting stent-treated patients, sourced from the Cerner Health Facts data set (n=98 236) and Optum’s de-identified Clinformatics Data Mart Database (n=9978). The 36 months following drug-eluting stent implantation were designated as our primary forecasting interval, further segmented into 6 sequential prediction windows. We evaluated 5 distinct AI algorithms for their precision in predicting ischemic and bleeding risks. Model discriminative accuracy was assessed using the area under the receiver operating characteristic curve, among other metrics. The weighted light gradient boosting machine stood out as the preeminent model, thus earning its place as our AI-DAPT model. The AI-DAPT demonstrated peak accuracy in the 30 to 36 months window, charting an area under the receiver operating characteristic curve of 90% [95% CI, 88%–92%] for ischemia and 84% [95% CI, 82%–87%] for bleeding predictions. CONCLUSIONS: Our AI-DAPT excels in formulating iterative, refined dynamic predictions by assimilating ongoing updates from patients’ clinical profiles, holding value as a novel smart clinical tool to facilitate optimal DAPT duration management with high accuracy and adaptability. © 2024 The Authors.",,
1,"A. Siegbahn, N. Eriksson, E. Assarsson, M. Lundberg, A. Ballagi, C. Held, R.A.H. Stewart, H.D. White, M. Åberg, L. Wallentin",Development and validation of a quantitative Proximity Extension Assay instrument with 21 proteins associated with cardiovascular risk (CVD-21),2023,PLoS ONE,Public Library of Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176768463&doi=10.1371%2fjournal.pone.0293465&partnerID=40&md5=301a1fe748a72e98ef7add271e3a6654,,57,12/11/2024 21:11,Article,10.1371/journal.pone.0293465,19326203 (ISSN),,18,11,,,1,1,0,10,1,"Background Treatment of cardiovascular diseases (CVD) is a substantial burden to healthcare systems worldwide. New tools are needed to improve precision of treatment by optimizing the balance between efficacy, safety, and cost. We developed a high-throughput multi-marker decision support instrument which simultaneously quantifies proteins associated with CVD. Methods and findings Candidate proteins independently associated with different clinical outcomes were selected from clinical studies by the screening of 368 circulating biomarkers. We then custom-designed a quantitative PEA-panel with 21 proteins (CVD-21) by including recombinant antigens as calibrator samples for normalization and absolute quantification of the proteins. The utility of the CVD-21 tool was evaluated in plasma samples from a case-control cohort of 4224 patients with chronic coronary syndrome (CCS) using multivariable Cox regression analyses and machine learning techniques. The assays in the CVD-21 tool gave good precision and high sensitivity with lower level of determination (LOD) between 0.03–0.7 pg/ml for five of the biomarkers. The dynamic range for the assays was sufficient to accurately quantify the biomarkers in the validation study except for troponin I, which in the modeling was replaced by high-sensitive cardiac troponin T (hs-TnT). We created seven different multimarker models, including a reference model with NT-proBNP, hs-TnT, GDF-15, IL-6, and cystatin C and one model with only clinical variables, for the comparison of the discriminative value of the CVD-21 tool. All models with biomarkers including hs-TnT provided similar discrimination for all outcomes, e.g. c-index between 0.68–0.86 and outperformed models using only clinical variables. Most important prognostic biomarkers were MMP-12, U-PAR, REN, VEGF-D, FGF-23, TFF3, ADM, and SCF. Conclusions The CVD-21 tool is the very first instrument which with PEA simultaneously quantifies 21 proteins with associations to different CVD. Novel pathophysiologic and prognostic information beyond that of established biomarkers were identified by a number of proteins. Copyright: © 2023 Siegbahn et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,
